Period,Condition,Model,Seed,ROI %,B&H %,Sharpe,Sortino,Max DD %,Trades,Policy Cash,Policy Long,Policy Short
Recent 2500 (~104 Days),Baseline,Cash Baseline,N/A,0.0,2.137002023525101,0.0,0.0,0.0,0,2499,0,0
Recent 2500 (~104 Days),Baseline,Buy & Hold,N/A,2.137002023525101,2.137002023525101,0.39,0.56,-24.53,1,0,2499,0
Recent 2500 (~104 Days),Legacy Baseline,Preserved Transformer,Original,1.83,2.14,0.36,0.52,-24.21,1,0,2499,0
Recent 2500 (~104 Days),Condition A (Hard Cliff),Condition A (Seed 42),42,0.0,2.14,0.0,0.0,0.0,0,2499,0,0
Recent 2500 (~104 Days),Condition A (Hard Cliff),Condition A (Seed 101),101,-4.77,2.14,-1.39,-1.76,-7.47,22,2432,0,67
Recent 2500 (~104 Days),Condition A (Hard Cliff),Condition A (Seed 777),777,0.0,2.14,0.0,0.0,0.0,0,2499,0,0
Recent 2500 (~104 Days),Condition B (Gradual Penalty),Condition B (Seed 42),42,-11.96,2.14,-1.81,-2.28,-13.07,17,2217,188,94
Recent 2500 (~104 Days),Condition B (Gradual Penalty),Condition B (Seed 101),101,-3.51,2.14,-0.75,-1.02,-10.92,25,2089,51,359
Recent 2500 (~104 Days),Condition B (Gradual Penalty),Condition B (Seed 777),777,6.78,2.14,1.29,1.87,-9.75,21,1726,0,773
Bear Crash (2025-2026),Baseline,Cash Baseline,N/A,0.0,-18.01165817616261,0.0,0.0,0.0,0,11688,0,0
Bear Crash (2025-2026),Baseline,Buy & Hold,N/A,-18.01165817616261,-18.01165817616261,-0.15,-0.22,-53.74,1,0,11688,0
Bear Crash (2025-2026),Legacy Baseline,Preserved Transformer,Original,-18.26,-18.01,-0.16,-0.22,-53.74,1,0,11688,0
Bear Crash (2025-2026),Condition A (Hard Cliff),Condition A (Seed 42),42,0.0,-18.01,0.0,0.0,0.0,0,11688,0,0
Bear Crash (2025-2026),Condition A (Hard Cliff),Condition A (Seed 101),101,-9.77,-18.01,-0.66,-0.91,-10.83,114,11280,0,408
Bear Crash (2025-2026),Condition A (Hard Cliff),Condition A (Seed 777),777,-8.57,-18.01,-0.88,-1.25,-10.52,19,11507,0,181
Bear Crash (2025-2026),Condition B (Gradual Penalty),Condition B (Seed 42),42,0.54,-18.01,0.13,0.18,-27.14,115,9466,1769,453
Bear Crash (2025-2026),Condition B (Gradual Penalty),Condition B (Seed 101),101,1.08,-18.01,0.13,0.2,-13.41,148,9779,228,1681
Bear Crash (2025-2026),Condition B (Gradual Penalty),Condition B (Seed 777),777,16.74,-18.01,0.61,0.9,-19.98,91,7607,0,4081
ETF Bull (2023-2024),Baseline,Cash Baseline,N/A,0.0,158.8718787361894,0.0,0.0,0.0,0,4368,0,0
ETF Bull (2023-2024),Baseline,Buy & Hold,N/A,158.8718787361894,158.8718787361894,4.16,6.13,-20.18,1,0,4368,0
ETF Bull (2023-2024),Legacy Baseline,Preserved Transformer,Original,158.1,158.87,4.15,6.11,-20.18,1,0,4368,0
ETF Bull (2023-2024),Condition A (Hard Cliff),Condition A (Seed 42),42,0.0,158.87,0.0,0.0,0.0,0,4368,0,0
ETF Bull (2023-2024),Condition A (Hard Cliff),Condition A (Seed 101),101,-11.75,158.87,-1.38,-2.05,-11.75,68,4089,0,279
ETF Bull (2023-2024),Condition A (Hard Cliff),Condition A (Seed 777),777,-5.59,158.87,-0.99,-1.33,-8.18,14,4257,0,111
ETF Bull (2023-2024),Condition B (Gradual Penalty),Condition B (Seed 42),42,-15.61,158.87,-1.53,-2.08,-21.18,39,3780,370,218
ETF Bull (2023-2024),Condition B (Gradual Penalty),Condition B (Seed 101),101,-10.09,158.87,-0.79,-1.1,-15.57,88,3387,208,773
ETF Bull (2023-2024),Condition B (Gradual Penalty),Condition B (Seed 777),777,-58.9,158.87,-4.65,-5.98,-61.51,40,1967,0,2401
