step,net_worth,action
0,10000.0,
1,10000.0,0.0
2,10000.0,0.0
3,10000.0,0.0
4,10000.0,0.0
5,10000.0,0.0
6,10000.0,0.0
7,10000.0,0.0
8,10000.0,0.0
9,10000.0,0.0
10,10000.0,0.0
11,10000.0,0.0
12,10000.0,0.0
13,10000.0,0.0
14,10000.0,0.0
15,10000.0,0.0
16,10000.0,0.0
17,10000.0,0.0
18,10000.0,0.0
19,10000.0,0.0
20,10000.0,0.0
21,10000.0,0.0
22,10000.0,0.0
23,10000.0,0.0
24,10000.0,0.0
25,10000.0,0.0
26,10000.0,0.0
27,9985.002501250625,2.0
28,10010.985930728082,2.0
29,10036.969987961078,2.0
30,10062.953417438534,2.0
31,10088.936846915989,2.0
32,10114.920276393445,2.0
33,10140.903705870902,2.0
34,10166.88713534836,2.0
35,10192.871192581353,2.0
36,10218.85462205881,2.0
37,10244.838051536266,2.0
38,10270.821481013721,2.0
39,10296.804910491177,2.0
40,10322.788339968634,2.0
41,10348.771769446092,2.0
42,10374.755826679086,2.0
43,10400.739256156543,2.0
44,10426.722685633998,2.0
45,10452.706115111454,2.0
46,10478.68954458891,2.0
47,10504.672974066369,2.0
48,10530.65703129936,2.0
49,10556.640460776818,2.0
50,10582.623890254275,2.0
51,10608.607319731731,2.0
52,10634.590749209186,2.0
53,10660.574178686642,2.0
54,10686.558235919638,2.0
55,10712.541665397095,2.0
56,10738.52509487455,2.0
57,10764.508524352008,2.0
58,10790.491953829463,2.0
59,10816.475383306919,2.0
60,10842.458812784374,2.0
61,10868.44287001737,2.0
62,10894.426299494828,2.0
63,10920.409728972285,2.0
64,10946.39315844974,2.0
65,10972.376587927196,2.0
66,10998.360017404651,2.0
67,11024.344074637647,2.0
68,11050.327504115105,2.0
69,11076.31093359256,2.0
70,11102.294363070017,2.0
71,11128.277792547473,2.0
72,11154.261222024928,2.0
73,11180.245279257922,2.0
74,11206.22870873538,2.0
75,11232.212138212837,2.0
76,11258.195567690293,2.0
77,11284.17899716775,2.0
78,11310.162426645205,2.0
79,11336.145856122661,2.0
80,11362.129913355655,2.0
81,11388.113342833112,2.0
82,11414.09677231057,2.0
83,11440.080201788025,2.0
84,11466.063631265482,2.0
85,11492.047060742938,2.0
86,11518.031117975932,2.0
87,11544.014547453387,2.0
88,11569.997976930845,2.0
89,11595.981406408302,2.0
90,11621.964835885758,2.0
91,11647.948265363215,2.0
92,11673.932322596209,2.0
93,11699.915752073664,2.0
94,11725.89918155112,2.0
95,11736.02078378176,2.0
