step,net_worth,action
0,10000.0,
1,10000.0,0.0
2,10000.0,0.0
3,10000.0,0.0
4,10000.0,0.0
5,10000.0,0.0
6,10000.0,0.0
7,10000.0,0.0
8,10000.0,0.0
9,10000.0,0.0
10,10000.0,0.0
11,10000.0,0.0
12,10000.0,0.0
13,10000.0,0.0
14,10000.0,0.0
15,10000.0,0.0
16,10000.0,0.0
17,10000.0,0.0
18,10000.0,0.0
19,10000.0,0.0
20,10000.0,0.0
21,10000.0,0.0
22,10000.0,0.0
23,10000.0,0.0
24,10000.0,0.0
25,10000.0,0.0
26,10000.0,0.0
27,10000.0,0.0
28,10000.0,0.0
29,10000.0,0.0
30,10000.0,0.0
31,10000.0,0.0
32,10000.0,0.0
33,10000.0,0.0
34,10000.0,0.0
35,10000.0,0.0
36,10000.0,0.0
37,10000.0,0.0
38,10000.0,0.0
39,10000.0,0.0
40,10000.0,0.0
41,10000.0,0.0
42,10000.0,0.0
43,10000.0,0.0
44,10000.0,0.0
45,10000.0,0.0
46,10000.0,0.0
47,10000.0,0.0
48,10000.0,0.0
49,10000.0,0.0
50,10000.0,0.0
51,10000.0,0.0
52,10000.0,0.0
53,10000.0,0.0
54,10000.0,0.0
55,10000.0,0.0
56,10000.0,0.0
57,10000.0,0.0
58,10000.0,0.0
59,10000.0,0.0
60,10000.0,0.0
61,10000.0,0.0
62,10000.0,0.0
63,10000.0,0.0
64,10000.0,0.0
65,10000.0,0.0
66,10000.0,0.0
67,10000.0,0.0
68,10000.0,0.0
69,10000.0,0.0
70,10000.0,0.0
71,10000.0,0.0
72,10000.0,0.0
73,10000.0,0.0
74,10000.0,0.0
75,10000.0,0.0
76,10000.0,0.0
77,10000.0,0.0
78,10000.0,0.0
79,10000.0,0.0
80,10000.0,0.0
81,10000.0,0.0
82,10000.0,0.0
83,10000.0,0.0
84,10000.0,0.0
85,10000.0,0.0
86,10000.0,0.0
87,10000.0,0.0
88,10000.0,0.0
89,10000.0,0.0
90,10000.0,0.0
91,10000.0,0.0
92,10000.0,0.0
93,10000.0,0.0
94,10000.0,0.0
95,10000.0,0.0
