step,net_worth,action
0,10000.0,
1,10000.0,0.0
2,10000.0,0.0
3,10000.0,0.0
4,10000.0,0.0
5,10000.0,0.0
6,9985.007496251874,1.0
7,10015.952649249155,1.0
8,10046.897802246434,1.0
9,10077.842955243714,1.0
10,10108.788855870987,1.0
11,10139.734008868265,1.0
12,10170.679161865544,1.0
13,10201.624314862825,1.0
14,10232.569467860105,1.0
15,10263.514620857384,1.0
16,10294.460521484658,1.0
17,10325.405674481937,1.0
18,10356.350827479215,1.0
19,10387.295980476498,1.0
20,10418.241133473775,1.0
21,10449.186286471055,1.0
22,10480.131439468336,1.0
23,10511.077340095608,1.0
24,10542.022493092887,1.0
25,10572.967646090168,1.0
26,10603.912799087448,1.0
27,10634.857952084725,1.0
28,10665.803105082006,1.0
29,10696.749005709278,1.0
30,10727.694158706558,1.0
31,10758.639311703839,1.0
32,10789.584464701118,1.0
33,10820.529617698397,1.0
34,10851.474770695679,1.0
35,10882.420671322949,1.0
36,10913.365824320228,1.0
37,10944.31097731751,1.0
38,10975.256130314789,1.0
39,11006.201283312068,1.0
40,11037.14643630935,1.0
41,11068.091589306629,1.0
42,11099.037489933899,1.0
43,11129.98264293118,1.0
44,11160.92779592846,1.0
45,11191.872948925738,1.0
46,11222.81810192302,1.0
47,11253.763254920299,1.0
48,11284.709155547569,1.0
49,11315.65430854485,1.0
50,11346.59946154213,1.0
51,11377.544614539409,1.0
52,11408.48976753669,1.0
53,11439.43492053397,1.0
54,11470.38082116124,1.0
55,11501.325974158523,1.0
56,11532.2711271558,1.0
57,11563.21628015308,1.0
58,11594.16143315036,1.0
59,11625.10658614764,1.0
60,11656.05173914492,1.0
61,11686.997639772193,1.0
62,11717.942792769472,1.0
63,11748.88794576675,1.0
64,11779.833098764031,1.0
65,11810.77825176131,1.0
66,11841.72340475859,1.0
67,11872.669305385863,1.0
68,11903.614458383143,1.0
69,11934.559611380422,1.0
70,11965.504764377703,1.0
71,11996.449917374981,1.0
72,12027.39507037226,1.0
73,12058.340970999534,1.0
74,12089.286123996813,1.0
75,12120.231276994093,1.0
76,12151.176429991374,1.0
77,12182.121582988653,1.0
78,12213.06673598593,1.0
79,12244.011888983212,1.0
80,12274.957789610484,1.0
81,12305.902942607763,1.0
82,12336.848095605044,1.0
83,12367.793248602324,1.0
84,12398.738401599603,1.0
85,12429.683554596884,1.0
86,12460.629455224154,1.0
87,12491.574608221435,1.0
88,12522.519761218715,1.0
89,12553.465661845987,1.0
90,12584.410067213274,1.0
91,12615.355967840547,1.0
92,12646.300373207834,1.0
93,12677.246273835104,1.0
94,12708.190679202393,1.0
95,12720.034244528211,1.0
