step,net_worth,action
0,10000.0,
1,9985.310340656106,1.0
2,9990.421017703093,1.0
3,10030.103587290363,1.0
4,10036.046020095451,1.0
5,10022.316362867954,1.0
6,10009.943818240636,1.0
7,10016.00212812997,1.0
8,10032.152407884245,1.0
9,10008.712535357705,1.0
10,10022.956885891925,1.0
11,10022.025603803795,1.0
12,10011.07699659825,1.0
13,10004.616315974656,1.0
14,10003.485981226471,1.0
15,10037.772801921454,1.0
16,10051.756962192883,1.0
17,10028.520407740545,1.0
18,10040.559539162265,1.0
19,10036.80313110603,1.0
20,10046.4678486542,1.0
21,9997.025300602874,1.0
22,10017.947867882036,1.0
23,10018.431992387394,1.0
24,10007.147839269179,1.0
25,10007.50400135021,1.0
26,10010.94050334564,1.0
27,10014.348569246775,1.0
28,10070.497059234984,1.0
29,10054.818818645988,1.0
30,10069.916252009029,1.0
31,10090.99450690445,1.0
32,10086.867007817678,1.0
33,10074.47597972907,1.0
34,10054.274978342615,1.0
35,10118.42609616751,1.0
36,10076.499918740446,1.0
37,10061.249641370576,1.0
38,10047.92733119384,1.0
39,10020.19503023362,1.0
40,10020.000953890065,1.0
41,10026.830592837125,1.0
42,10039.62470256235,1.0
43,10025.961159254086,1.0
44,10017.39478584802,1.0
45,10008.67699023984,1.0
46,10000.404930409715,1.0
47,10058.704610931263,1.0
48,9987.403237196144,1.0
49,9979.06719615386,1.0
50,9921.587896952693,1.0
51,9821.822703731641,1.0
52,9818.448050241303,1.0
53,9791.730206945022,1.0
54,9781.491080292111,1.0
55,9779.12519724685,1.0
56,9789.930202176212,1.0
57,9754.530108389617,1.0
58,9734.243087817924,1.0
59,9808.170534861094,1.0
60,9806.484985371819,1.0
61,9819.204450349522,1.0
62,9832.973207206674,1.0
63,9622.384023693638,1.0
64,9707.25794523528,1.0
65,9780.304584257694,1.0
66,9733.026022982142,1.0
67,9744.708281420471,1.0
68,9705.356992331726,1.0
69,9726.391882183352,1.0
70,9690.106714961858,1.0
71,9698.57711654968,1.0
72,9688.423298179654,1.0
73,9740.15921723579,1.0
74,9689.437755843592,1.0
75,9750.967776676936,1.0
76,9713.782607071038,1.0
77,9483.165171444383,1.0
78,9533.247531617324,1.0
79,9508.185379911312,1.0
80,9468.254705401327,1.0
81,9450.607265282473,1.0
82,9446.824553839015,1.0
83,9516.742511586732,1.0
84,9459.213449220551,1.0
85,9456.639271784587,1.0
86,9509.030642814201,1.0
87,9390.46350404596,1.0
88,9304.991002719427,1.0
89,9200.99451866743,1.0
90,9223.665905745676,1.0
91,9148.928030015126,1.0
92,9168.290877522264,1.0
93,9127.891718358786,1.0
94,9217.454040947152,1.0
95,9235.790345450278,1.0
96,9150.8986513497,1.0
97,9168.853912189286,1.0
98,9252.234227878136,1.0
99,9293.370592786187,1.0
100,9281.386200845984,1.0
101,9265.607012122246,1.0
102,9292.459926866422,1.0
103,9280.906341754771,1.0
104,9254.219067259857,1.0
105,9281.112503438404,1.0
106,9227.123023909468,1.0
107,9287.966313065614,1.0
108,9342.813140837514,1.0
109,9371.25421144801,1.0
110,9390.944784941885,1.0
111,9438.808418857538,1.0
112,9456.18002886174,1.0
113,9454.80087828848,1.0
114,9495.143876165728,1.0
115,9464.268675883666,1.0
116,9448.173846513266,1.0
117,9433.71906888127,1.0
118,9436.829266694676,1.0
119,9453.081916388408,1.0
120,9434.206036996055,1.0
121,9405.809042331715,1.0
122,9401.820169204624,1.0
123,9430.412662017236,1.0
124,9466.333847231768,1.0
125,9385.600931921686,1.0
126,9401.541495480542,1.0
127,9389.414212166512,1.0
128,9390.759239426618,1.0
129,9355.248244872277,1.0
130,9383.6871827757,1.0
131,9393.24526497027,1.0
132,9331.805528736308,1.0
133,9401.628936470497,1.0
134,9292.915615277483,1.0
135,9282.858479628056,1.0
136,9178.461757548868,1.0
137,9263.706770121049,1.0
138,9256.256513416023,1.0
139,9225.92586433969,1.0
140,9182.730015302399,1.0
141,9201.207789374635,1.0
142,9228.313074455671,1.0
143,9222.0336739332,1.0
144,9234.203611388672,1.0
145,9239.588696745597,1.0
146,9272.906557527513,1.0
147,9273.923858800881,1.0
148,9284.015117763463,1.0
149,9322.258820979458,1.0
150,9265.08023347545,1.0
151,9282.451132577293,1.0
152,9235.69579543675,1.0
153,9191.78833313975,1.0
154,9169.694198775673,1.0
155,9137.03036816252,1.0
