step,net_worth,action
0,10000.0,
1,9991.423594133172,1.0
2,10039.239473930502,1.0
3,10022.669745421523,1.0
4,10034.407108359417,1.0
5,10027.964583478904,1.0
6,10082.09745991047,1.0
7,10080.979031550756,1.0
8,10162.698863700538,1.0
9,10191.700607698256,1.0
10,10169.229163971308,1.0
11,10139.546924743754,1.0
12,10101.48732676445,1.0
13,10101.84597889668,1.0
14,10171.636852364245,1.0
15,10302.708161730141,1.0
16,10283.27299144893,1.0
17,10283.014384385166,1.0
18,10284.080902567845,1.0
19,10265.395126478716,1.0
20,10296.717727300515,1.0
21,10295.819209327141,1.0
22,10280.856808663388,1.0
23,10287.906210704488,1.0
24,10264.487170291333,1.0
25,10286.571647244036,1.0
26,10234.268840508239,1.0
27,10214.41272588236,1.0
28,10221.298846821157,1.0
29,10160.048613207646,1.0
30,10163.188707007452,1.0
31,10199.472033110818,1.0
32,10229.76020567756,1.0
33,10271.146774093988,1.0
34,10252.820593958484,1.0
35,10216.455155393263,1.0
36,10274.81635169953,1.0
37,10294.849904748722,1.0
38,10374.817060557585,1.0
39,10481.119664907465,1.0
40,10518.269419056587,1.0
41,10463.923238988484,1.0
42,10424.14022313168,1.0
43,10498.317034647844,1.0
44,10348.509926658588,1.0
45,10251.379378679763,1.0
46,10005.605454498627,1.0
47,9968.721857984474,1.0
48,10054.648302116742,1.0
49,10119.168876883343,1.0
50,10119.940922789036,1.0
51,10085.626408127324,1.0
52,10094.666329502295,1.0
53,10068.686701629307,1.0
54,10034.243827257114,1.0
55,10082.338134367625,1.0
56,10109.307830889844,1.0
57,10085.515037202053,1.0
58,10053.737514465161,1.0
59,10038.757181194795,1.0
60,9900.195705193717,1.0
61,9951.481072459666,1.0
62,9849.810743543945,1.0
63,9911.09873001348,1.0
64,9885.879822189378,1.0
65,9885.812810869935,1.0
66,9919.572358548092,1.0
67,9907.40083776592,1.0
68,9950.323003601126,1.0
69,9993.034697264,1.0
70,9996.1662966712,1.0
71,10052.902232525626,1.0
72,10032.754477086963,1.0
73,9990.42125580573,1.0
74,10016.389557821913,1.0
75,10005.23453268819,1.0
76,9993.370697682616,1.0
77,10051.320387858219,1.0
78,10033.76908509261,1.0
79,10147.10410269838,1.0
80,10198.223357397823,1.0
81,10216.995965055808,1.0
82,9974.851977981389,1.0
83,9988.55437707534,1.0
84,10012.660519468132,1.0
85,10067.74948697851,1.0
86,9975.691035206524,1.0
87,10010.24528050399,1.0
88,10074.600686525484,1.0
89,10203.539903347417,1.0
90,10146.74356292335,1.0
91,10149.174846851303,1.0
92,10167.783229585584,1.0
93,10170.413659829066,1.0
94,10154.822674112509,1.0
95,10134.662648995636,1.0
96,10122.308026861747,1.0
97,10145.535471530578,1.0
98,10145.141898006526,1.0
99,10102.544406733126,1.0
100,10109.036954147872,1.0
101,10110.356416465915,1.0
102,10084.820384651208,1.0
103,10090.624886264915,1.0
104,10089.974593319901,1.0
105,10129.035585805243,1.0
106,10104.658566670478,1.0
107,10081.84734723931,1.0
108,10061.155006852498,1.0
109,9997.595242271713,1.0
110,10016.850142665407,1.0
111,9981.040614905141,1.0
112,9995.74346468373,1.0
113,10011.396742612726,1.0
114,10031.523733980577,1.0
115,10010.24528050399,1.0
116,10036.275874732612,1.0
117,10016.755760525348,1.0
118,10049.919756899724,1.0
119,10092.152933112491,1.0
120,10090.851403401059,1.0
121,10078.98190546708,1.0
122,10063.402245607333,1.0
123,10068.733892699338,1.0
124,10087.56218581996,1.0
125,10081.523616498904,1.0
126,10040.476823786694,1.0
